kana,kanji,word,furigana,definition
ア,阿,阿呆,あ.ほ,"fool, idiot (Kansai dialect)"
イ,伊,伊呂波,い.ろ.は,"traditional ordering of the Japanese syllabary"
ウ,宇,-,,
エ,江,江戸,え.ど,"Edo (historic city, now Tokyo)"
オ,於,-,,
カ,加,-,,
キ,機,-,,
ク,久,-,,
ケ,介,~,,
コ,己,-,,
サ,散,散歩,さん.ぽ,"walk, stroll"
シ,之,-,,
ス,須,必須,ひっ.す,"indispensable, essential"
セ,世,-,,
ソ,曽,-,,
タ,多,多分,た.ぶん,"probably, perhaps"
チ,千,千葉,ち.ば,"Chiba (prefecture and city)"
ツ,川,-,,
テ,天,-,,
ト,止,-,,
ナ,奈,-,,
ニ,仁,-,,
ヌ,奴,-,,
ネ,祢,-,,
ノ,乃,-,,
ハ,入,入る,は.いる,"to enter"
ヒ,比,-,,
フ,不,-,,
ヘ,部,-,,
ホ,保,-,,
マ,末,-,,
ミ,三,三つ,みっ.,"three (generic counter)"
ム,牟,釈迦牟尼,しゃ.か.む.に,"Gautama Buddha"
メ,女,-,,
モ,毛,-,,
ヤ,也,-,,
ユ,由,-,,
ヨ,與,輿論,よ.ろん,"public opinion (usually written as 世論)"
ラ,良,-,,
リ,利,-,,
ル,流,流浪,る.ろう,"vangrancy"
レ,礼,-,,
ロ,呂,-,,
ワ,和,-,,
ン,尓,~,,
